UF,AM
Cidade,BARCELOS
Nome Posto,CARVOEIRO
Latitude,-1.3944444444444444
Longitude,-61.97916666666667
Codigo,162000
Qtd. Anos,43
Ano,Maxima
1977,11.9
1978,122
1979,143
1980,83
1981,95
1982,95.2
1983,110.4
1984,97
1985,73.4
1986,100
1987,94.3
1988,119.3
1989,112.3
1990,80
1991,103.2
1992,109.4
1993,92.1
1994,68.8
1995,100
1996,67.5
1997,71.7
1998,101.1
1999,150.6
2000,100.5
2001,141.5
2002,158.4
2003,106
2004,203.6
2005,101.7
2006,100.1
2007,71.4
2008,84.6
2009,90.2
2010,88.7
2011,143.9
2012,147.5
2013,113.9
2014,94.7
2015,85.8
2016,71.7
2017,103.1
2018,97.2
2019,165.6
