UF,AM
Cidade,SANTA IZABEL DO RIO NEGRO
Nome Posto,TAPURUQUARA
Latitude,-0.4202777777777778
Longitude,-65.01527777777778
Codigo,65001
Qtd. Anos,37
Ano,Maxima
1982,88
1983,72.8
1984,67.4
1985,91.3
1986,97
1987,74.8
1988,114.4
1989,79
1991,87.3
1992,80.3
1993,73.9
1994,66.5
1995,78.2
1996,56.1
1997,89.2
1998,116.7
1999,87.6
2000,116.7
2001,66.2
2002,67.7
2003,66.5
2004,99.5
2005,103.2
2006,107.1
2007,66.3
2008,131
2009,79
2010,65.7
2011,118.5
2012,84.3
2013,67.7
2014,53.6
2015,69.8
2016,143.4
2017,94
2018,142.2
2019,84.9
