UF,AM
Cidade,SAO GABRIEL DA CACHOEIRA
Nome Posto,LIVRAMENTO
Latitude,-0.28888888888888886
Longitude,-66.15333333333334
Codigo,66000
Qtd. Anos,43
Ano,Maxima
1977,16.4
1978,118.2
1979,105
1980,93.4
1981,80
1982,142
1983,103.2
1984,103.2
1985,93.8
1986,94.2
1987,83
1988,90.4
1989,75.6
1990,91.6
1991,123.2
1992,75
1993,95.7
1994,120
1995,77.2
1996,98.4
1997,89.4
1998,125
1999,87
2000,97.4
2001,125
2002,108
2003,105.2
2004,97.4
2005,68.8
2006,69.6
2007,81.2
2008,95.5
2009,86.2
2010,83.4
2011,136.5
2012,96.4
2013,93.6
2014,97
2015,92.2
2016,118.5
2017,121.5
2018,96.7
2019,90
