UF,AM
Cidade,BOCA DO ACRE
Nome Posto,BOCA DO ACRE
Latitude,-8.735555555555555
Longitude,-67.40027777777779
Codigo,867001
Qtd. Anos,49
Ano,Maxima
1972,70.2
1973,80
1974,98.3
1975,89.1
1976,80.4
1977,73.2
1978,82.6
1979,90.4
1980,85.2
1981,86.2
1982,66.4
1983,56
1984,84.6
1985,86.2
1986,98.7
1987,78.6
1988,87.4
1989,98.5
1990,97.5
1991,95.1
1992,85
1993,98.1
1994,95.2
1995,97
1996,96.8
1997,95.4
1998,85
1999,82
2000,89
2001,74
2002,88.4
2003,90.1
2004,90.7
2005,186.8
2006,88.1
2007,96
2008,115
2009,97
2010,96
2011,98
2012,118
2013,97
2014,94
2015,88
2016,92
2017,86.6
2018,122.7
2019,121.1
2020,33.2
