UF,AM
Cidade,CARAUARI
Nome Posto,GAVIAO
Latitude,-4.839166666666666
Longitude,-66.85055555555554
Codigo,466001
Qtd. Anos,45
Ano,Maxima
1975,65.4
1976,100
1977,130.4
1978,118.6
1979,125.6
1980,80.2
1981,106.5
1982,83.3
1983,46.4
1984,73.8
1985,112.4
1986,123
1987,100.6
1988,77
1989,120.8
1990,96.6
1991,98
1992,74.4
1993,69
1994,89.8
1995,101.5
1996,90.3
1997,47.1
1999,117.6
2000,70.7
2001,74.4
2002,93.6
2003,65.6
2004,109.6
2005,106.4
2006,99.5
2007,127.3
2008,111.1
2009,113
2010,72.8
2011,109
2012,40.9
2013,53.4
2014,88
2015,63.9
2016,73.4
2017,82.1
2018,99.2
2019,88.8
2020,76.1
