UF,AM
Cidade,NOVO ARIPUANA
Nome Posto,VILA DO APUI
Latitude,-7.204444444444444
Longitude,-59.893055555555556
Codigo,759000
Qtd. Anos,38
Ano,Maxima
1982,102
1983,83.9
1984,134.9
1985,86
1986,125
1987,96
1988,78
1989,106
1990,72
1991,71.5
1992,73
1993,121
1994,74.5
1995,75.4
1996,74.2
1997,70.9
1998,71.5
1999,78.9
2000,67.4
2001,92.4
2002,96.5
2003,90.8
2004,93.3
2005,88.4
2006,92.2
2007,113.2
2008,99
2009,99.5
2010,102.7
2011,136.3
2012,167
2013,184
2014,89.1
2015,109
2016,112
2017,94.7
2018,122.9
2019,95
