UF,AM
Cidade,BARREIRINHA
Nome Posto,BARREIRINHA
Latitude,-2.792222222222222
Longitude,-57.06444444444444
Codigo,257001
Qtd. Anos,38
Ano,Maxima
1982,28
1983,28
1984,123.6
1985,87.2
1986,75.8
1987,95.3
1988,98.1
1989,95.8
1990,83.7
1991,75.9
1992,86.5
1993,95.9
1994,76.4
1995,91.5
1996,109.3
1997,85.6
1998,99.7
1999,95.1
2000,100.5
2001,146.6
2002,209
2003,86.8
2004,140.1
2005,74.5
2006,118.8
2007,143.5
2008,91.8
2009,141.6
2010,83.3
2011,148.3
2012,97
2013,86.1
2014,68.9
2015,100.7
2016,68.2
2017,95.5
2018,82.8
2019,70
