UF,AM
Cidade,PRESIDENTE FIGUEIREDO
Nome Posto,POSTO ABONARI - FUNAI
Latitude,-1.2988888888888888
Longitude,-60.39972222222222
Codigo,160000
Qtd. Anos,39
Ano,Maxima
1977,39.8
1978,120.9
1979,76.2
1980,111.8
1981,91.3
1982,86
1983,89
1984,95.2
1985,95.5
1986,30.2
1991,91.4
1992,58
1993,134.4
1994,90.6
1995,112.7
1996,76.4
1997,84.3
1998,68.5
1999,72.2
2000,115
2001,118.2
2002,64.9
2003,93
2004,78.5
2005,80
2006,79.7
2007,78.8
2008,62.3
2009,68.2
2010,86.3
2011,66
2012,67.4
2013,105.3
2014,87.6
2015,82.4
2016,83.1
2017,101.7
2018,78.7
2019,138.3
