UF,AM
Cidade,HUMAITA
Nome Posto,HUMAITA
Latitude,-7.5152777777777775
Longitude,-63.02861111111111
Codigo,763001
Qtd. Anos,39
Ano,Maxima
1982,100.5
1983,73.7
1984,151
1985,122.2
1986,145.1
1987,96.3
1988,115.2
1989,104.4
1990,101
1991,82
1992,96.2
1993,72
1994,92
1995,75.4
1996,68
1997,94.7
1998,19.5
1999,16.2
2000,18.8
2001,34.2
2002,18.9
2003,15.9
2004,18.4
2005,56.2
2006,61.7
2007,15.2
2008,19.1
2009,32.9
2010,19
2011,79.3
2012,81
2013,90.6
2014,24.2
2015,32.8
2016,18.9
2017,41
2018,85.8
2019,123.1
2020,47.6
