UF,AM
Cidade,CANUTAMA
Nome Posto,CANUTAMA
Latitude,-6.538888888888889
Longitude,-64.38583333333334
Codigo,664001
Qtd. Anos,40
Ano,Maxima
1980,87.4
1981,98.3
1982,104.2
1983,124.3
1984,62
1985,101.2
1986,80.2
1987,91
1988,145
1989,95
1990,249.4
1991,90.8
1992,99
1993,92.2
1994,98.2
1995,80.2
1996,88.1
1997,120.5
1998,101.8
1999,60.1
2000,80.4
2001,80
2002,67.5
2003,60.6
2004,90.2
2005,72.5
2006,81.5
2007,95.6
2008,84.1
2009,97.7
2010,109.7
2011,95.7
2012,87.6
2013,84.5
2014,84.5
2015,78.4
2016,97.8
2017,153.8
2018,103.3
2019,136
