UF,AM
Cidade,SANTO ANTONIO DO ICA
Nome Posto,SANTO ANTONIO DO ICA
Latitude,-3.1016666666666666
Longitude,-67.93555555555555
Codigo,367000
Qtd. Anos,49
Ano,Maxima
1972,76
1973,72.7
1974,70.2
1975,105.5
1976,112.9
1977,95.4
1978,90.2
1979,104.4
1980,129
1981,105.8
1982,80.8
1983,107.4
1984,125
1985,81.4
1986,140
1987,68.4
1988,96.2
1989,102
1990,111.3
1991,107.5
1992,68.6
1993,92.9
1994,55.8
1995,109
1996,65.1
1997,73.3
1998,81
1999,62.3
2000,86
2001,86.7
2002,60.8
2003,104.9
2004,143.3
2005,94.1
2006,102.2
2007,94.2
2008,72.8
2009,46
2010,22.8
2011,18.7
2012,41.1
2013,97.8
2014,132.5
2015,124.4
2016,118.9
2017,114.1
2018,81.8
2019,120.8
2020,46.3
