UF,AM
Cidade,IPIXUNA
Nome Posto,IPIXUNA
Latitude,-7.050833333333333
Longitude,-71.68416666666667
Codigo,771000
Qtd. Anos,39
Ano,Maxima
1981,30.6
1982,84.2
1983,62.8
1984,81.2
1985,89.6
1986,81.5
1987,71.7
1988,54.7
1989,63.6
1990,146.2
1991,100.3
1992,54.9
1993,54.2
1994,57.3
1995,54.1
1996,57.2
1997,57.2
1998,50.5
1999,63.2
2000,53.4
2001,62.7
2002,475.3
2003,51.6
2004,56.2
2005,61.4
2006,64.2
2007,46.3
2008,56.3
2009,57.6
2010,56.7
2011,54.6
2012,46.2
2013,49.3
2014,38.6
2015,46.3
2016,69.4
2017,85.2
2018,76.4
2019,64.6
