UF,AM
Cidade,APUI
Nome Posto,BOCA DO GUARIBA
Latitude,-7.705277777777778
Longitude,-60.57833333333333
Codigo,760001
Qtd. Anos,43
Ano,Maxima
1977,64
1978,94.2
1979,102.2
1980,75
1981,72.4
1982,112.2
1983,86.1
1984,95
1985,131.4
1986,108.2
1987,75
1988,140
1989,92.6
1990,76
1991,98.6
1992,97.6
1993,80.6
1994,134.2
1995,77.6
1996,90
1997,100
1998,100
1999,83.2
2000,97.4
2001,92.2
2002,90.7
2003,100.9
2004,140.7
2005,109.6
2006,110.3
2007,60.4
2008,70.8
2009,200.4
2010,94.4
2011,228.2
2012,110.3
2013,90
2014,90
2015,90
2016,90
2017,90
2018,94.2
2019,64.9
