UF,AM
Cidade,NOVO ARIPUANA
Nome Posto,PRAINHA VELHA
Latitude,-7.205
Longitude,-60.64361111111111
Codigo,760000
Qtd. Anos,46
Ano,Maxima
1974,80.1
1975,79.4
1976,75.6
1977,100.3
1978,93.1
1979,99.8
1980,69.4
1981,82.4
1982,118.4
1983,82.8
1984,119.2
1985,98.6
1986,80.2
1987,104.6
1988,157
1989,72.2
1990,134.8
1991,138
1992,119
1993,104.2
1994,72.4
1995,59.4
1996,91.6
1997,84.3
1998,133.7
1999,133.5
2000,136.5
2001,143.7
2002,134.7
2003,136.5
2004,128.5
2005,143.6
2006,133.7
2007,131.5
2008,117.5
2009,86.5
2010,94.5
2011,104.1
2012,107.5
2013,131.5
2014,97.1
2015,101.5
2016,125.7
2017,119.9
2018,134.5
2019,137.3
