UF,AM
Cidade,URUCARA
Nome Posto,URUCARA
Latitude,-2.5377777777777775
Longitude,-57.75805555555556
Codigo,257000
Qtd. Anos,43
Ano,Maxima
1977,21.2
1978,128.1
1979,80.6
1980,79.2
1981,117.2
1982,64.4
1983,68.4
1984,68.2
1985,72.2
1986,146
1987,76.6
1988,84.4
1989,75.5
1990,150.6
1991,72
1992,55.6
1993,144.7
1994,132.6
1995,117.7
1996,82.9
1997,36.8
1998,126.2
1999,76.7
2000,159.5
2001,103.1
2002,180.6
2003,119.9
2004,172.4
2005,85.1
2006,89.2
2007,64.4
2008,94.7
2009,87
2010,187.3
2011,101.1
2012,82.3
2013,81.2
2014,129.5
2015,97.9
2016,102.3
2017,89.6
2018,83.3
2019,126.3
