UF,AM
Cidade,COARI
Nome Posto,BARRO ALTO - SAO RAIMUNDO DO IPIXUNA
Latitude,-3.875
Longitude,-63.78583333333333
Codigo,363000
Qtd. Anos,40
Ano,Maxima
1980,96.6
1981,146.6
1982,110.6
1983,92
1984,100
1985,100
1986,43.3
1987,78
1988,100
1989,82.2
1990,114.2
1991,47.3
1992,92
1993,85.2
1994,53.3
1995,55.6
1996,58.2
1997,124.3
1998,60
1999,70
2000,87.7
2001,85.7
2002,97.7
2003,120.8
2004,92
2005,109.4
2006,84.8
2007,102.9
2008,100
2009,113.3
2010,114.3
2011,100
2012,110.3
2013,107.1
2014,110
2015,110
2016,113
2017,125
2018,60.3
2019,95.3
