UF,AM
Cidade,LABREA
Nome Posto,FAZENDA SHEFFER
Latitude,-8.334444444444445
Longitude,-65.71944444444445
Codigo,865000
Qtd. Anos,35
Ano,Maxima
1982,79.4
1983,75.3
1984,112.3
1985,95
1986,110.4
1987,92.4
1988,130.2
1989,220.6
1990,117.4
1991,152.4
1992,125
1993,174.1
1994,93.4
1995,178.8
1996,56.4
1997,99.9
1998,86.2
1999,84.7
2000,90
2001,75.2
2002,81.5
2003,199.8
2004,138.5
2005,135.2
2006,67.8
2007,170.3
2008,150.7
2009,101.3
2010,104.3
2011,113.2
2012,103.5
2013,74.5
2017,95.5
2018,91.7
2019,63
