UF,AM
Cidade,MARAA
Nome Posto,MARAA
Latitude,-1.8611111111111112
Longitude,-65.59055555555555
Codigo,165000
Qtd. Anos,44
Ano,Maxima
1977,6.3
1978,92.2
1979,62.2
1980,58
1981,97.1
1982,75.4
1983,54.4
1984,140
1985,28.6
1986,29.2
1987,25.6
1988,144.6
1989,50.2
1990,73.2
1991,56
1992,90.2
1993,100
1994,92.3
1995,46.3
1996,25
1997,32.2
1998,27.7
1999,129.7
2000,72
2001,141.3
2002,89.4
2003,138.6
2004,89.4
2005,91.3
2006,76.1
2007,129.7
2008,67.2
2009,144.3
2010,116.3
2011,65
2012,67.8
2013,97.2
2014,71.7
2015,98.8
2016,106.5
2017,53.9
2018,92.5
2019,67.2
2020,47.5
