UF,AM
Cidade,MARAA
Nome Posto,SAO PEDRO
Latitude,-2.35
Longitude,-65.11666666666666
Codigo,265000
Qtd. Anos,39
Ano,Maxima
1982,59.7
1983,91.6
1984,63.9
1985,81.8
1986,101.9
1987,95.2
1988,84.6
1989,56.8
1990,56.4
1991,52.5
1992,56.2
1993,63.2
1994,152.7
1995,92.6
1996,95.2
1997,97.6
1998,181.8
1999,77.9
2000,94.5
2001,98.6
2002,93.7
2003,78.3
2004,84.4
2005,53.3
2006,56.5
2007,57.2
2008,67.3
2009,98.7
2010,74.6
2011,73.4
2012,57.3
2013,52
2014,96.7
2015,204.5
2016,99
2017,75.7
2018,54
2019,124.4
2020,22.1
