UF,AM
Cidade,JAPURA
Nome Posto,ACANAUI
Latitude,-1.8211111111111111
Longitude,-66.6
Codigo,166000
Qtd. Anos,48
Ano,Maxima
1973,63
1974,82.8
1975,107.2
1976,130
1977,136.8
1978,130.4
1979,185.6
1980,137
1981,100.1
1982,105.2
1983,73.2
1984,78.6
1985,131.4
1986,101.8
1987,81.2
1988,82.4
1989,75
1990,136.2
1991,134.6
1992,87.6
1993,94.6
1994,94.6
1995,100.3
1996,115.8
1997,71.1
1998,85.2
1999,75.5
2000,82.9
2001,118.8
2002,88.8
2003,122.6
2004,147
2005,136.5
2006,121.4
2007,130.4
2008,128.1
2009,80.2
2010,207.5
2011,110.2
2012,114.6
2013,125.9
2014,78.5
2015,56.4
2016,62.4
2017,94.2
2018,104.1
2019,84.4
2020,68.3
