UF,AM
Cidade,BARCELOS
Nome Posto,CUMARU
Latitude,-0.5983333333333334
Longitude,-63.397777777777776
Codigo,63000
Qtd. Anos,43
Ano,Maxima
1977,18.4
1978,64.6
1979,65.8
1980,82.4
1981,101.4
1982,61.8
1983,103.6
1984,86.2
1985,113.6
1986,120.4
1987,125.6
1988,121.4
1989,89.6
1990,130.3
1991,84.6
1992,102.6
1993,142.4
1994,60.3
1995,48.9
1996,139.4
1997,70
1998,161.6
1999,96.8
2000,91.1
2001,113.2
2002,97.6
2003,68.6
2004,119.3
2005,107.5
2006,120
2007,80.6
2008,77.9
2009,167.5
2010,139.6
2011,133.5
2012,86.7
2013,93.7
2014,82.2
2015,82.4
2016,112.9
2017,191.2
2018,89.7
2019,60
