UF,MS
Cidade,PARANHOS
Nome Posto,PORTO SAO DOMINGOS
Latitude,-23.650277777777777
Longitude,-55.39194444444444
Codigo,2355002
Qtd. Anos,36
Ano,Maxima
1984,88
1985,51.6
1986,100.7
1987,80.6
1988,80.8
1989,112.6
1990,99.6
1991,76.5
1992,87.6
1993,103.6
1994,130.1
1995,78.9
1996,108.8
1997,130.5
1998,81.8
1999,88.3
2000,70.8
2001,87
2002,90
2003,155.2
2004,101.3
2005,76
2006,168.7
2007,73.6
2008,115.1
2009,66.5
2010,124.5
2011,90.2
2012,109.2
2013,130.5
2014,85.6
2015,108.3
2016,156.7
2017,81.4
2018,72.1
2019,209
