UF,MS
Cidade,CORUMBA
Nome Posto,CAMPO ALTO
Latitude,-19.003333333333334
Longitude,-56.08888888888889
Codigo,1956004
Qtd. Anos,48
Ano,Maxima
1961,124.1
1962,96
1963,62
1964,64.2
1965,73.1
1966,75.4
1967,89.1
1968,119.1
1969,112
1970,123.2
1971,79.3
1976,69.7
1977,58
1978,97.2
1979,113.1
1980,127.8
1981,70
1982,87
1983,110
1989,26.6
1990,85
1991,64
1992,106
1993,107
1994,114.9
1995,63
1996,106
1997,89.8
1998,73.1
1999,83.7
2000,87
2001,75
2002,120
2003,84.7
2004,76.5
2005,73
2006,100
2007,72.6
2008,126
2009,76.5
2010,90
2011,180.1
2012,89.3
2013,70
2014,74.3
2015,86.3
2016,111.2
2017,67.2
