UF,MS
Cidade,BANDEIRANTES
Nome Posto,BANDEIRANTES
Latitude,-19.91777777777778
Longitude,-54.35861111111111
Codigo,1954005
Qtd. Anos,39
Ano,Maxima
1976,79.3
1977,68.2
1978,65.4
1979,67.4
1980,162.3
1981,130.7
1982,79.2
1983,80.3
1989,84.6
1990,81.2
1991,117.3
1992,95.2
1993,51.9
1994,70.3
1995,64.9
1996,85.7
1997,110.2
1998,114
1999,74.1
2000,68.2
2001,91.9
2002,70.1
2003,61.4
2004,99.6
2005,109.4
2006,158.8
2007,95.5
2008,82.2
2009,78.1
2010,71.4
2011,133.2
2012,82.4
2013,68.1
2014,90
2015,73.7
2016,77.6
2017,90
2018,70
2019,74.8
