UF,MS
Cidade,RIO VERDE DE MATO GROSSO
Nome Posto,RIO VERDE DE MATO GROSSO
Latitude,-18.91
Longitude,-54.83222222222223
Codigo,1854002
Qtd. Anos,39
Ano,Maxima
1968,65.5
1969,65
1970,65
1971,85
1972,85.2
1976,66
1977,85.5
1978,102
1982,89
1983,122
1989,95
1992,106
1993,128.3
1994,98.8
1995,63.8
1996,107
1997,95.4
1998,123.5
1999,55.4
2000,91.3
2001,101.6
2002,46.7
2003,91.1
2004,90.2
2005,89.8
2006,75.3
2007,101.1
2008,62.2
2009,111.6
2010,93.1
2011,114.6
2012,129.8
2013,82.6
2014,111.8
2015,77.1
2016,111.3
2017,107.9
2018,109.7
2019,58.4
