UF,MS
Cidade,COSTA RICA
Nome Posto,COSTA RICA
Latitude,-18.547222222222224
Longitude,-53.13527777777778
Codigo,1853004
Qtd. Anos,37
Ano,Maxima
1983,143.1
1984,73.4
1985,96
1986,54.3
1987,77.5
1988,87.3
1989,98.7
1990,60.3
1991,44.4
1992,75.3
1993,91.1
1994,71.2
1995,92.3
1996,79
1997,86
1998,71.6
1999,64.7
2000,82.8
2001,66.6
2002,69.1
2003,90.2
2004,80.5
2005,77.3
2006,73
2007,146.1
2008,60.4
2009,90.8
2010,75.9
2011,75.6
2012,76.9
2013,76.8
2014,103.8
2015,77.6
2016,90.2
2017,71.7
2018,73.2
2019,61.7
