UF,MS
Cidade,AQUIDAUANA
Nome Posto,TABOCO
Latitude,-20.07027777777778
Longitude,-55.64527777777778
Codigo,2055004
Qtd. Anos,42
Ano,Maxima
1973,200
1974,106.4
1975,94.5
1976,148
1977,75
1978,95
1979,98.8
1980,80
1981,90
1982,101
1983,102
1990,34
1991,95
1992,95.2
1993,87.2
1994,174.2
1995,81.2
1996,74.1
1997,162.5
1998,130.9
1999,71.4
2000,118.2
2001,103.4
2002,56.4
2003,132.5
2004,84.2
2005,225.4
2006,104.8
2007,60.5
2008,91.5
2009,79.7
2010,81
2011,93
2012,71.5
2013,90.1
2014,173.5
2015,92
2016,75.5
2017,75
2018,118
2019,77
2020,47
