UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,AGUA CLARA
Latitude,-20.44527777777778
Longitude,-52.901944444444446
Codigo,2052002
Qtd. Anos,44
Ano,Maxima
1976,74
1977,125.2
1978,125
1979,69.8
1980,96.4
1981,42.2
1982,92.2
1983,82.6
1984,56
1985,51.7
1986,64.8
1987,130
1988,56.8
1989,69.4
1990,121.8
1991,91.4
1992,104.4
1993,51.8
1994,73.8
1995,95
1996,70.6
1997,80.9
1998,72.9
1999,89.8
2000,53
2001,96.2
2002,90.3
2003,60.9
2004,86.9
2005,146
2006,104.5
2007,47
2008,85.2
2009,54.3
2010,92.5
2011,150.1
2012,130
2013,140.6
2014,106.4
2015,87.2
2016,78.2
2017,82
2018,92.2
2019,54.2
