UF,MS
Cidade,NIOAQUE
Nome Posto,NIOAQUE
Latitude,-21.149166666666666
Longitude,-55.825
Codigo,2155001
Qtd. Anos,42
Ano,Maxima
1968,65
1969,66.5
1970,30
1971,58
1972,65.1
1976,86
1977,98
1978,178.2
1979,151
1980,94
1981,129
1982,98
1983,81
1989,60
1992,37.6
1993,61.5
1994,77.5
1995,42.3
1996,87.6
1997,103.4
1998,91.9
1999,60.4
2000,98.4
2001,87.5
2002,125.1
2003,99.5
2004,72.5
2005,108.3
2006,80.5
2007,114
2008,76.8
2009,94.3
2010,97.5
2011,81.2
2012,89.2
2013,97.5
2014,92.7
2015,62.1
2016,124.7
2017,98.1
2018,61.3
2019,75.7
