UF,MS
Cidade,NOVA ANDRADINA
Nome Posto,XAVANTE
Latitude,-21.98222222222222
Longitude,-53.43888888888888
Codigo,2153003
Qtd. Anos,37
Ano,Maxima
1984,75.4
1985,81.2
1986,57.8
1987,123.2
1988,68.9
1989,84
1990,84.5
1991,93.3
1992,81.9
1993,80.7
1994,101.1
1995,94.9
1996,100.4
1997,67.1
1998,58.5
1999,63.8
2000,52.5
2001,55.4
2002,70.5
2003,58.5
2004,76.9
2005,91
2006,106
2007,52.5
2008,30
2009,80
2010,58.6
2011,49.1
2012,76.8
2013,135
2014,76.5
2015,65
2016,79.3
2017,98
2018,65.2
2019,108.2
2020,54.2
