UF,MS
Cidade,AQUIDAUANA
Nome Posto,IGUACU
Latitude,-19.94472222222222
Longitude,-55.794444444444444
Codigo,1955000
Qtd. Anos,39
Ano,Maxima
1975,650
1976,220
1977,88
1978,160
1979,139
1980,81
1981,83
1982,130
1983,195
1991,70
1992,68.4
1993,67.3
1994,141.3
1995,63.2
1996,100
1997,75.1
1998,100.4
1999,48.1
2000,128.3
2001,102.1
2002,95.2
2003,161.7
2004,99.9
2005,123.5
2006,80.2
2007,51
2008,70
2009,78.7
2010,93.1
2011,200
2012,71.9
2013,78
2014,170.3
2015,111.1
2016,88
2017,90.8
2018,98
2019,76.6
2020,90.3
