UF,MS
Cidade,CAMPO GRANDE
Nome Posto,FAZENDA PONTE
Latitude,-21.301944444444445
Longitude,-54.19944444444444
Codigo,2154008
Qtd. Anos,36
Ano,Maxima
1984,45.2
1985,123.3
1986,52
1987,215
1988,82
1989,90
1990,146.6
1991,75.5
1992,73
1993,102.7
1994,41.5
1995,80.5
1996,114.6
1997,95.8
1998,100.5
1999,82.2
2000,47
2001,79.3
2002,91.1
2003,65.2
2004,56.2
2005,93.7
2006,58
2007,97.4
2008,80.7
2009,72.4
2010,143.5
2011,108.5
2012,115.6
2013,70.9
2014,84.5
2015,72.5
2016,90.2
2017,104.6
2018,114.8
2019,92.5
