UF,MS
Cidade,PORTO MURTINHO
Nome Posto,PORTO MURTINHO
Latitude,-21.70138888888889
Longitude,-57.891666666666666
Codigo,2157004
Qtd. Anos,43
Ano,Maxima
1966,107
1967,61.5
1968,86.5
1969,125
1970,63
1971,88
1972,64
1976,110
1977,63
1978,112
1983,93
1989,242.9
1990,90
1991,96.2
1992,79
1993,98.6
1994,97.1
1995,82.8
1996,72.3
1997,92
1998,106.4
1999,80
2000,86.4
2001,213
2002,42.6
2003,116
2004,89.5
2005,93.3
2006,78
2007,63
2008,78.6
2009,63.5
2010,119
2011,85.9
2012,119.2
2013,149.6
2014,134.2
2015,114
2016,116.5
2017,123
2018,97
2019,118.2
2020,43.6
