UF,MS
Cidade,NAVIRAI
Nome Posto,NAVIRAI
Latitude,-23.05777777777778
Longitude,-54.193888888888885
Codigo,2354000
Qtd. Anos,49
Ano,Maxima
1972,93.3
1973,78
1974,152
1975,71.8
1976,144.3
1977,55.2
1978,54.4
1979,87.4
1980,114.2
1981,103
1982,179
1983,113.9
1984,92.5
1985,147
1986,95
1987,76.2
1988,100.3
1989,77.6
1990,57.8
1991,94.2
1992,108.2
1993,73.8
1994,80
1995,71.4
1996,89.6
1997,108
1998,86.4
1999,43.2
2000,109.1
2001,95.2
2002,93.7
2003,90.9
2004,124.7
2005,74.2
2006,105.2
2007,64.3
2008,53.7
2009,92.1
2010,90.3
2011,69.8
2012,140
2013,106.1
2014,61
2015,101.9
2016,86
2017,101.8
2018,76.4
2019,79.3
2020,77.5
