UF,MS
Cidade,CORUMBA
Nome Posto,CORUMBA
Latitude,-18.004166666666666
Longitude,-57.67166666666667
Codigo,1857000
Qtd. Anos,41
Ano,Maxima
1961,82
1962,77.5
1963,97
1964,49
1965,144
1966,79
1974,62.9
1975,119.8
1976,78.2
1977,101.6
1978,59.3
1979,65.2
1980,53.4
1981,46.1
1982,76.3
1983,82.2
1984,91.8
1985,47.6
1992,48
1993,51.4
1994,130.4
1995,113
1996,60.5
1997,38.1
1998,85.4
1999,82
2000,77.4
2001,52.8
2002,57.6
2003,128.5
2004,101.2
2005,55.1
2006,72.6
2007,78.1
2008,54.1
2009,140.2
2010,64.9
2011,102.4
2012,94.5
2013,113.8
2014,83.3
