UF,MS
Cidade,COXIM
Nome Posto,JAURU
Latitude,-18.649166666666666
Longitude,-54.35722222222223
Codigo,1854003
Qtd. Anos,41
Ano,Maxima
1971,65.5
1972,82.4
1973,91.5
1974,68.9
1975,90
1976,54.9
1977,63.6
1978,81.4
1979,72.1
1980,90.4
1981,74.9
1982,50.7
1983,142.1
1992,777
1993,98.9
1994,96.9
1995,98.2
1996,93.2
1997,115.4
1998,69
1999,82.4
2000,52.9
2001,75.1
2002,51.8
2003,111.8
2004,167.6
2005,58.1
2006,97.5
2007,92.5
2008,75
2009,75
2010,103.1
2011,64
2012,118.1
2013,140
2014,86.2
2015,140
2016,55.3
2017,116.2
2018,111.6
2019,80.7
