UF,MS
Cidade,PEDRO GOMES
Nome Posto,PEDRO SEVERO
Latitude,-17.830833333333334
Longitude,-54.31305555555555
Codigo,1754004
Qtd. Anos,43
Ano,Maxima
1971,94.1
1972,103.8
1973,76.4
1975,96.5
1976,66.3
1977,104.3
1978,137.1
1979,64.1
1980,97.3
1981,57.8
1982,94.5
1983,65.8
1984,120
1985,72.6
1986,62
1992,777
1993,63.8
1994,69.2
1995,88.9
1996,96.8
1997,96.5
1998,96.2
1999,67.6
2000,76.5
2001,54.2
2002,81.2
2003,122.7
2004,59.3
2005,92.3
2006,99.3
2007,66.2
2008,75.8
2009,78.6
2010,82.1
2011,73.2
2012,62.3
2013,55
2014,84.7
2015,108.3
2016,101
2017,52.9
2018,61.3
2019,65.5
