UF,MS
Cidade,AMAMBAI
Nome Posto,AMAMBAI
Latitude,-23.097777777777775
Longitude,-55.243611111111115
Codigo,2355000
Qtd. Anos,49
Ano,Maxima
1972,100
1973,100
1974,67.4
1975,118
1976,96
1977,101.5
1978,58.4
1979,75.1
1980,200.4
1981,103.1
1982,120.5
1983,79.8
1984,113.1
1985,71.6
1986,66
1987,133.4
1988,100.8
1989,115.3
1990,129.8
1991,115.4
1992,36.8
1993,116.4
1994,178.4
1995,82.1
1996,127.6
1997,104.2
1998,83.1
1999,78.6
2000,86.5
2001,148.4
2002,126.4
2003,147.6
2004,112.6
2005,119.5
2006,126.1
2007,112.4
2008,128.1
2009,98.6
2010,131.6
2011,94.6
2012,111.6
2013,96.4
2014,96.4
2015,151.5
2016,101
2017,74
2018,72.2
2019,91.2
2020,63.7
