UF,MS
Cidade,CHAPADAO DO SUL
Nome Posto,CIDADE CHAPADAO GAUCHO
Latitude,-18.691666666666666
Longitude,-52.59388888888889
Codigo,1852003
Qtd. Anos,37
Ano,Maxima
1983,63.8
1984,64.4
1985,120.2
1986,126.2
1987,81
1988,92
1989,94.2
1990,80
1991,79
1992,76.4
1993,54.9
1994,102.3
1995,108.6
1996,98.2
1997,72
1998,77
1999,81.3
2000,82.4
2001,60.6
2002,93.2
2003,385.6
2004,91.5
2005,83.7
2006,94.9
2007,90.7
2008,62.7
2009,72.8
2010,96.1
2011,127.8
2012,87.3
2013,80.3
2014,92.7
2015,99.3
2016,129.9
2017,97.6
2018,77.2
2019,82.7
