UF,MS
Cidade,NOVA ANDRADINA
Nome Posto,PORTO PINDAIBA
Latitude,-21.61527777777778
Longitude,-53.05222222222222
Codigo,2153000
Qtd. Anos,48
Ano,Maxima
1972,50.1
1973,66
1974,85
1975,67
1976,54.1
1977,50.6
1978,38.2
1979,59
1980,103
1981,80.4
1982,68.4
1983,86.4
1984,150.5
1985,67.8
1986,84.4
1987,136.6
1988,102.2
1989,152.6
1990,99.6
1991,234.6
1992,99.2
1993,67.6
1994,125.4
1995,126.2
1996,65.8
1997,51.2
1998,88.5
1999,127.8
2000,87.4
2001,93.5
2002,74.7
2003,77.5
2004,87.5
2005,109.2
2006,86.3
2007,60.5
2008,50.3
2009,92.3
2010,58.5
2011,120.3
2012,84.2
2013,90.1
2014,76.4
2015,66
2016,91.4
2017,98.7
2018,82
2019,101.7
