UF,MS
Cidade,CHAPADAO DO SUL
Nome Posto,INDAIA GRANDE
Latitude,-18.997777777777777
Longitude,-52.588055555555556
Codigo,1852002
Qtd. Anos,37
Ano,Maxima
1983,101.6
1984,75.6
1985,71.8
1986,85
1987,66
1988,111.3
1989,82
1990,80
1991,118
1992,75
1993,80
1994,76
1995,99.9
1996,94.4
1997,82.7
1998,114
1999,82.4
2000,100
2001,111.6
2002,73.5
2003,73.4
2004,73.5
2005,69.3
2006,81.6
2007,90.5
2008,99
2009,98
2010,89.8
2011,87.9
2012,105.2
2013,119.1
2014,90
2015,80
2016,93.7
2017,88.2
2018,108
2019,45.3
