UF,MS
Cidade,TACURU
Nome Posto,TACURU
Latitude,-23.640277777777776
Longitude,-55.01916666666666
Codigo,2355003
Qtd. Anos,37
Ano,Maxima
1984,52
1985,60.6
1986,92.2
1987,70.2
1988,88.6
1989,76.1
1990,150
1991,78.2
1992,84.8
1993,118.2
1994,84.3
1995,118.2
1996,94.2
1997,92.1
1998,95.3
1999,85.3
2000,81.7
2001,65.3
2002,103.7
2003,142
2004,97.5
2005,93.1
2006,196
2007,54
2008,137
2009,127
2010,79.3
2011,76.1
2012,117.4
2013,111.9
2014,97.3
2015,136.1
2016,97.2
2017,126.3
2018,100.5
2019,175.1
2020,51.5
