UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,PASSAGEM RIBEIRAO LONTRA
Latitude,-21.409444444444443
Longitude,-53.61333333333334
Codigo,2153002
Qtd. Anos,36
Ano,Maxima
1984,72
1985,60.5
1986,78.3
1987,106.7
1988,50.4
1989,74
1990,20
1991,20
1992,52
1993,59
1994,45
1995,98.5
1996,93
1997,86.7
1998,50
1999,78.6
2000,76.8
2001,85.6
2002,80.8
2003,52.3
2004,85.5
2005,136
2006,69
2007,62
2008,103.7
2009,95.3
2010,107.1
2011,72.6
2012,91.2
2013,76.3
2014,97.1
2015,97.3
2016,84.5
2017,75
2018,62.1
2019,67.2
