UF,MS
Cidade,BONITO
Nome Posto,ESTRADA MT-738
Latitude,-20.764444444444443
Longitude,-56.09305555555556
Codigo,2056003
Qtd. Anos,42
Ano,Maxima
1969,64.4
1970,70
1971,47
1972,87.6
1976,85
1977,147
1978,97
1979,108
1980,123
1981,58
1982,100
1983,53.8
1989,172.5
1992,65.2
1993,54.6
1994,98.7
1995,93.3
1996,99
1997,82
1998,123
1999,87.5
2000,94.5
2001,97.3
2002,93.6
2003,110
2004,93
2005,73
2006,87.3
2007,83.3
2008,56.3
2009,100
2010,92
2011,75.4
2012,72.3
2013,85.2
2014,74.3
2015,85.9
2016,80.7
2017,136
2018,85.2
2019,115.1
2020,110.4
