UF,MS
Cidade,BATAGUASSU
Nome Posto,PORTO UERE
Latitude,-21.72583333333333
Longitude,-52.33416666666667
Codigo,2152001
Qtd. Anos,48
Ano,Maxima
1972,65.8
1973,82
1974,78.2
1975,74
1976,58
1977,39
1978,58
1979,80
1980,116
1981,61
1982,82
1983,72.7
1984,64.5
1985,64
1986,76.5
1987,84
1988,92.6
1989,129.9
1990,149.7
1991,86
1992,82.9
1993,86.2
1994,107
1995,132.8
1996,83.9
1997,72.5
1998,129.8
1999,94
2000,80.7
2001,97.3
2002,109
2003,73
2004,68
2005,99.3
2006,150
2007,73.6
2008,76
2009,97.3
2010,135.6
2011,72
2012,155
2013,72.5
2014,73
2015,95.3
2016,72.9
2017,100
2018,67
2019,83.1
