UF,MS
Cidade,RIBAS DO RIO PARDO
Nome Posto,RIBAS DO RIO PARDO
Latitude,-20.44472222222222
Longitude,-53.75805555555556
Codigo,2053000
Qtd. Anos,47
Ano,Maxima
1972,72
1973,70
1974,75.3
1975,81.3
1976,75
1977,146
1978,70
1979,59.2
1980,84.2
1981,71.5
1982,47.6
1983,60.5
1985,39.4
1986,86.4
1987,75.2
1988,67.4
1989,68.2
1990,81.4
1991,136.6
1992,78.3
1993,38
1994,64
1995,90.8
1996,90
1997,265
1998,74.1
1999,59.3
2000,86.5
2001,62
2002,92.4
2003,79.6
2004,131.6
2005,95.8
2006,144
2007,86.7
2008,56
2009,96
2010,66.4
2011,98
2012,111
2013,57.3
2014,85
2015,64.1
2016,76.1
2017,152.5
2018,72
2019,67.1
