UF,MS
Cidade,RIO NEGRO
Nome Posto,RIO NEGRO
Latitude,-19.439722222222223
Longitude,-54.983333333333334
Codigo,1954003
Qtd. Anos,43
Ano,Maxima
1968,62.4
1969,85.4
1970,66.2
1971,143
1972,65
1976,78
1977,52.2
1978,976.2
1979,65.8
1980,57.4
1981,66.6
1982,99.8
1983,87.2
1989,63.4
1991,35.7
1992,77.2
1993,198.6
1994,66.8
1995,68.6
1996,58.1
1997,102
1998,84
1999,54.5
2000,100
2001,80
2002,84.8
2003,104
2004,53.5
2005,139.3
2006,62.4
2007,62.5
2008,125.8
2009,160
2010,85
2011,83.4
2012,90.8
2013,79
2014,142.6
2015,73.6
2016,89.9
2017,102.8
2018,93.4
2019,73.8
