UF,MS
Cidade,CORUMBA
Nome Posto,PORTO ESPERANCA
Latitude,-19.600833333333334
Longitude,-57.43805555555555
Codigo,1957006
Qtd. Anos,43
Ano,Maxima
1968,53.1
1969,50.3
1970,53.4
1971,60.6
1972,82.6
1976,81.2
1977,66
1978,103
1979,231.4
1980,62.4
1981,85.4
1982,80.4
1983,90.2
1989,78.2
1990,16.4
1991,75.2
1992,121.2
1993,32.3
1994,93.1
1995,161.7
1996,88
1997,101.2
1998,122.5
1999,88
2000,72.1
2001,104.2
2002,75.3
2003,75.1
2004,69.4
2005,64.2
2006,63.2
2007,91.1
2008,64.1
2009,75
2010,93
2011,97
2013,38
2014,96.2
2015,105
2016,71
2017,75
2018,123
2019,65
