UF,MS
Cidade,DEODAPOLIS
Nome Posto,PORTO WILMA
Latitude,-22.075277777777778
Longitude,-54.189166666666665
Codigo,2254004
Qtd. Anos,37
Ano,Maxima
1984,99
1985,50
1986,100.2
1987,75
1988,70.7
1989,81.6
1990,150
1991,71
1992,50.4
1993,89
1994,103.7
1995,89.2
1996,108
1997,96.6
1998,73.4
1999,105
2000,53.1
2001,96.6
2002,63.7
2003,110
2004,91.7
2005,84.8
2006,143
2007,50.5
2008,173
2009,139.4
2010,62.7
2011,126.5
2012,126
2013,166.1
2014,72
2015,134
2016,86.9
2017,84.7
2018,87.4
2019,68.7
2020,37.1
