UF,MS
Cidade,IGUATEMI
Nome Posto,IGUATEMI
Latitude,-23.681944444444447
Longitude,-54.56166666666666
Codigo,2354001
Qtd. Anos,48
Ano,Maxima
1972,91.5
1973,56.4
1974,94.2
1975,126.2
1976,78.4
1977,59.6
1979,94
1980,102
1981,101.2
1982,76
1983,102.2
1984,59.2
1985,59.2
1986,100.2
1987,25
1988,83.2
1989,90.1
1990,39.3
1991,81.1
1992,75.2
1993,81.2
1994,93.5
1995,67.8
1996,70.2
1997,49.5
1998,58.3
1999,44.3
2000,82.6
2001,83.8
2002,121.4
2003,148.7
2004,91
2005,141
2006,105.5
2007,96
2008,131
2009,91.5
2010,106.4
2011,75.2
2012,64.2
2013,135.2
2014,96.6
2015,86.5
2016,152.3
2017,185.6
2018,94.5
2019,129.3
2020,69.9
