UF,MS
Cidade,AGUA CLARA
Nome Posto,FAZENDA RIO VERDE
Latitude,-20.101944444444445
Longitude,-52.92583333333333
Codigo,2052003
Qtd. Anos,37
Ano,Maxima
1983,69.2
1984,62.8
1985,50
1986,80.8
1987,64
1988,63
1989,78.6
1990,141.2
1991,100
1992,76.2
1993,63.4
1994,160.1
1995,101
1996,78.2
1997,125
1998,85
1999,75.3
2000,109.2
2001,91.3
2002,122.4
2003,90.3
2004,55.3
2005,90
2006,102.9
2007,100
2008,130.4
2009,75.2
2010,60.7
2011,110.1
2012,54.1
2013,97.3
2014,85.5
2015,64.6
2016,78.6
2017,54.3
2018,99.5
2019,124.5
