UF,MS
Cidade,SANTA RITA DO PARDO
Nome Posto,XAVANTINA DO SUL
Latitude,-21.29527777777778
Longitude,-52.81055555555555
Codigo,2152005
Qtd. Anos,44
Ano,Maxima
1976,63
1977,60.4
1978,62.8
1979,80.8
1980,92
1981,62.4
1982,117.2
1983,90
1984,74.4
1985,75
1986,72.4
1987,114
1988,83
1989,66.4
1990,95.2
1991,70.5
1992,92.3
1993,78
1994,61.6
1995,81
1996,73.2
1997,73.8
1998,62.7
1999,96.6
2000,72.6
2001,74.7
2002,102.9
2003,67.4
2004,119.4
2005,105.3
2006,94.2
2007,62.6
2008,51.2
2009,90.1
2010,106.9
2011,82.6
2012,78.9
2013,56.1
2014,72.6
2015,93
2016,77.2
2017,99.9
2018,123
2019,58.8
