UF,MS
Cidade,MIRANDA
Nome Posto,BODOQUENA
Latitude,-19.870833333333334
Longitude,-56.98361111111111
Codigo,1956005
Qtd. Anos,57
Ano,Maxima
1954,63
1955,98
1956,91
1957,75
1958,77.5
1959,84
1960,100
1961,67
1962,65
1963,62
1964,85
1965,78
1966,65
1967,92
1968,93
1969,80
1970,76
1971,72
1972,132
1976,104
1977,117
1978,7.8
1979,123
1980,100
1981,102
1982,163
1983,66
1990,25.5
1991,191
1992,41.2
1993,106
1994,85
1995,85.5
1996,49
1997,115.3
1998,123
1999,111
2000,139.4
2001,135.5
2002,62.3
2003,78.1
2004,95.5
2005,100
2006,70
2007,70.5
2008,66.8
2009,84.6
2010,100
2011,90.8
2012,62.1
2013,88.9
2014,83.3
2015,47.3
2016,70
2017,73.5
2018,92.5
2019,46.6
