UF,MS
Cidade,ANAURILANDIA
Nome Posto,ANAURILANDIA
Latitude,-22.18638888888889
Longitude,-52.71333333333334
Codigo,2252000
Qtd. Anos,48
Ano,Maxima
1972,50.2
1973,72
1974,86
1975,96.4
1976,77
1977,90
1978,100
1979,89
1980,100.2
1981,79
1982,80
1983,100
1984,105
1985,63
1986,59.4
1987,117
1988,66
1989,72.4
1990,100.1
1991,79.4
1992,81.6
1993,78.2
1994,86.2
1995,180.6
1996,132.2
1997,77
1998,68
1999,106.3
2000,105.1
2001,79.5
2002,96.5
2003,100
2004,90.5
2005,115.5
2006,109.8
2007,102.1
2008,78
2009,87
2010,176.1
2011,117
2012,85
2013,94
2014,68.3
2015,90.9
2016,96.3
2017,87.7
2018,88.6
2019,51.7
