UF,MS
Cidade,CORUMBA
Nome Posto,FORTE COIMBRA
Latitude,-19.91861111111111
Longitude,-57.78944444444444
Codigo,1957004
Qtd. Anos,42
Ano,Maxima
1968,56
1969,119.2
1970,75.3
1971,73.6
1972,95.6
1976,989.7
1977,45
1978,70.3
1979,143
1980,95.3
1981,81
1982,105
1983,122
1989,5.8
1992,97.1
1993,68.5
1994,36
1995,75.5
1996,52.8
1997,70.5
1998,110
1999,85.5
2000,93.6
2001,111.5
2002,80.1
2003,90.1
2004,123.5
2005,81.6
2006,110.5
2007,112.9
2008,70.7
2009,123
2010,104.6
2011,62.1
2012,90
2013,26
2014,13.4
2015,20
2016,42
2017,30
2018,10
2019,10
