UF,MS
Cidade,DOURADOS
Nome Posto,DOURADOS
Latitude,-22.398055555555555
Longitude,-54.791666666666664
Codigo,2254001
Qtd. Anos,49
Ano,Maxima
1972,110
1973,107
1974,50
1975,76.8
1976,76.8
1977,63.6
1978,85.8
1979,106.4
1980,119.2
1981,115
1982,86
1983,65
1984,65
1985,58
1986,90.3
1987,65
1988,71
1989,102.2
1990,112
1991,80
1992,20
1993,61
1994,105
1995,73
1996,81.2
1997,83.2
1998,96.2
1999,61.3
2000,93.6
2001,70.7
2002,115.6
2003,71.3
2004,105.7
2005,95.7
2006,77.4
2007,124.3
2008,111
2009,102.3
2010,96.3
2011,139.3
2012,99.2
2013,75.4
2014,129.3
2015,68.4
2016,83.7
2017,72.3
2018,123.3
2019,96.7
2020,48.6
