UF,MS
Cidade,CORUMBA
Nome Posto,PIRAPUTANGA
Latitude,-19.30527777777778
Longitude,-57.593333333333334
Codigo,1957005
Qtd. Anos,37
Ano,Maxima
1970,70
1972,93.6
1976,152
1977,125.6
1978,85.6
1979,244
1980,85.9
1981,127.6
1982,236.9
1983,73.3
1993,42.5
1994,96.6
1995,170.7
1996,83.1
1997,140
1998,85.8
1999,60.3
2000,98.8
2001,90.9
2002,54.8
2003,92.5
2004,76.6
2005,154.1
2006,62
2007,63.6
2008,64.9
2009,67.7
2010,71.7
2011,128.5
2012,78.7
2013,69
2014,165.8
2015,50
2016,97.7
2017,70.6
2018,82.3
2019,93.7
