UF,MS
Cidade,MIRANDA
Nome Posto,MIRANDA
Latitude,-20.240833333333335
Longitude,-56.395833333333336
Codigo,2056001
Qtd. Anos,43
Ano,Maxima
1965,65.6
1966,71.1
1967,80.8
1968,139.1
1969,51.3
1970,62
1971,49.2
1972,150.3
1976,87.6
1977,69.6
1978,83.8
1979,115.4
1980,64.3
1981,145
1991,70
1992,1.8
1993,47.7
1994,194.5
1995,52
1996,150.4
1997,87.5
1998,75.4
1999,64.7
2000,94.2
2001,117
2002,48.5
2003,89.9
2004,84.7
2005,82.5
2006,54.2
2007,103.1
2008,75
2009,113.2
2010,111.4
2011,108.4
2012,74.1
2013,139.5
2014,119.8
2015,82
2016,82.9
2017,160
2018,80
2019,97.2
