UF,MS
Cidade,CARACOL
Nome Posto,CARACOL
Latitude,-22.014166666666668
Longitude,-57.032222222222224
Codigo,2257000
Qtd. Anos,42
Ano,Maxima
1968,59
1969,112
1970,91
1971,216.4
1972,77.2
1976,120
1977,118.6
1978,93.4
1979,89.6
1980,65.2
1981,110.6
1982,160
1983,95
1989,26.4
1992,79.4
1993,81
1994,82
1995,56
1996,93
1997,86
1998,107
1999,77
2000,90
2001,101
2002,62
2003,128
2004,120
2005,96.3
2006,85.1
2007,94.1
2008,186.7
2009,114.6
2010,91.5
2011,144.1
2012,128.4
2013,173.5
2014,148.2
2015,64.8
2016,70.6
2017,108.4
2018,108.6
2019,130.8
