UF,MS
Cidade,SIDROLANDIA
Nome Posto,SIDROLANDIA
Latitude,-20.95138888888889
Longitude,-54.97166666666667
Codigo,2054021
Qtd. Anos,36
Ano,Maxima
1984,95.3
1985,70.2
1986,95.5
1987,97.2
1988,44.3
1989,115
1990,119.3
1991,110.3
1992,93.2
1993,63
1994,93
1995,62
1996,91
1997,158.2
1998,169.9
1999,83.3
2000,83.9
2001,71.5
2002,80.4
2003,178.1
2004,107.4
2005,66.3
2006,88.5
2007,112.3
2008,63.3
2009,55
2010,83.8
2011,125.4
2012,80.4
2013,80.4
2014,90.4
2015,60.1
2016,195
2017,114.4
2018,98.9
2019,63.8
