UF,MS
Cidade,RIO BRILHANTE
Nome Posto,PORTO RIO BRILHANTE
Latitude,-21.80611111111111
Longitude,-54.60305555555556
Codigo,2154001
Qtd. Anos,48
Ano,Maxima
1972,50.4
1973,103
1974,53.2
1975,68
1976,77.3
1977,58.4
1978,67.4
1979,104.3
1980,81.1
1981,70
1982,81
1983,71.2
1984,65.4
1985,97.4
1986,94
1987,94.2
1988,51.2
1989,91
1990,78.2
1991,103.2
1992,50
1993,142
1994,73
1995,65.4
1996,88.5
1997,208
1998,104.7
1999,60.6
2000,80.2
2001,164.1
2002,60.8
2003,60.5
2004,60.3
2005,97.7
2006,112.5
2007,66.1
2008,74.9
2009,97
2010,84.7
2011,200.7
2012,94.5
2013,113.4
2014,78.9
2015,84.2
2016,66.3
2017,68.7
2018,74.2
2019,64.2
