UF,MS
Cidade,CORUMBA
Nome Posto,PARAISO
Latitude,-19.173333333333336
Longitude,-56.71222222222222
Codigo,1956001
Qtd. Anos,39
Ano,Maxima
1970,52.8
1971,49
1972,74
1976,31.4
1977,51.8
1978,67
1979,194.2
1980,123.1
1981,155.5
1982,75
1983,75
1989,40.4
1990,39
1991,60
1993,50.6
1994,63
1995,70
1996,77
1997,81.6
1998,157
1999,83.8
2000,166.7
2001,67.5
2002,49
2003,82
2004,95
2005,57.8
2006,75.8
2007,130
2008,113.7
2009,96.5
2010,84.3
2011,88
2012,112.7
2013,78.1
2014,135.1
2015,87.7
2016,85.7
2017,70
