UF,MS
Cidade,GLORIA DE DOURADOS
Nome Posto,GLORIA DE DOURADOS
Latitude,-22.40583333333333
Longitude,-54.23527777777778
Codigo,2254003
Qtd. Anos,45
Ano,Maxima
1976,63.3
1977,135.4
1978,63.4
1979,85.4
1980,126.4
1981,65.4
1982,61
1983,64
1984,91.8
1985,95.4
1986,77
1987,90.4
1988,62.4
1989,89.2
1990,98
1991,113.5
1992,82
1993,132.2
1994,90
1995,89.2
1996,108.2
1997,81.2
1998,89.9
1999,90.1
2000,130
2001,100.1
2002,102.2
2003,94.5
2004,77.4
2005,110
2006,150.1
2007,100.2
2008,65.2
2009,110.1
2010,131.3
2011,80.4
2012,129
2013,88.7
2014,76
2015,79.1
2016,103.2
2017,84.5
2018,125.7
2019,95.5
2020,55.5
