UF,MS
Cidade,CORUMBA
Nome Posto,PORTO DA MANGA
Latitude,-19.258333333333333
Longitude,-57.23527777777778
Codigo,1957003
Qtd. Anos,37
Ano,Maxima
1970,54.6
1976,163.4
1977,69.2
1978,131
1979,114
1980,87
1981,146
1982,132
1983,105
1992,141
1993,63.3
1994,80.6
1995,97.2
1996,82.6
1997,87
1998,106.5
1999,122.4
2000,101.2
2001,96.1
2002,114.7
2003,109.1
2004,114.8
2005,64.3
2006,68.4
2007,101.9
2008,66.3
2009,75.3
2010,68.8
2011,60.9
2012,87.2
2013,70
2014,100
2015,113
2016,120
2017,80
2018,100
2019,56.6
